Печатники | Печатники | x=1456.5703 | y=1133.8880 | align=left | imp=3 | w=78.8800 | h=18.0000 | rect=1456.5703,1124.8880,1535.4503,1142.8880 | zone=614.9214 | anchor=1484.5751,1080.0899 | ids=10/pechatniki+97/pechatniki
Владыкино | Владыкино | x=940.8123 | y=171.8196 | align=left | imp=3 | w=83.4400 | h=18.0000 | rect=940.8123,162.8196,1024.2523,180.8196 | zone=615.1502 | anchor=960.7970,144.3131 | ids=9/vladykino+95/vladykino
Проспект Вернадского | Проспект⏎Вернадского | x=414.5752 | y=1221.3038 | align=left | imp=3 | w=96.0000 | h=37.9200 | rect=414.5752,1202.3438,510.5752,1240.2638 | zone=616.3311 | anchor=534.9581,1205.9183 | ids=1/prospekt-vernadskogo+97/prospekt-vernadskogo
Текстильщики | Текстильщики | x=1570.9025 | y=921.6393 | align=right | imp=3 | w=109.1200 | h=18.0000 | rect=1461.7825,912.6393,1570.9025,930.6393 | zone=627.3656 | anchor=1570.9025,901.6393 | ids=7/tekstilshchiki+97/tekstilshchiki
Мичуринский проспект | Мичуринский⏎проспект | x=261.5840 | y=1093.4503 | align=left | imp=3 | w=98.7200 | h=37.9200 | rect=261.5840,1074.4903,360.3040,1112.4103 | zone=674.1303 | anchor=383.3269,1108.8358 | ids=133/michurinskiy-prospekt+97/michurinskiy-prospekt
Кунцевская | Кунцевская | x=262.0156 | y=750.0214 | align=right | imp=3 | w=87.4400 | h=18.0000 | rect=174.5756,741.0214,262.0156,759.0214 | zone=681.6676 | anchor=278.1960,761.7771 | ids=3/kuntsevskaya+4/kuntsevskaya+97/kuntsevskaya
Косино | Косино | x=1711.0182 | y=946.3007 | align=left | imp=3 | w=53.2000 | h=18.0000 | rect=1711.0182,937.3007,1764.2182,955.3007 | zone=798.0326 | anchor=1734.4938,951.2906 | ids=7/lermontovskiy-prospekt+98/kosino
Битцевский парк | Битцевский парк | x=914.1049 | y=1595.5715 | align=right | imp=3 | w=126.4800 | h=18.0000 | rect=787.6249,1586.5715,914.1049,1604.5715 | zone=819.4059 | anchor=886.5983,1575.5868 | ids=12/bittsevskiy-park+6/novoyasenevskaya
Бульвар Дмитрия Донского | Бульвар Дмитрия⏎Донского | x=1114.0590 | y=1612.0710 | align=right | imp=3 | w=132.8800 | h=37.9200 | rect=981.1790,1593.1110,1114.0590,1631.0310 | zone=819.8938 | anchor=1099.5352,1567.3713 | ids=12/ulitsa-starokachalovskaya+9/bulvar-dmitriya-donskogo
Новомосковская | Новомосковская | x=609.0322 | y=1674.0081 | align=left | imp=3 | w=126.2400 | h=18.0000 | rect=609.0322,1665.0081,735.2722,1683.0081 | zone=922.4949 | anchor=698.9174,1644.2823 | ids=1/novomoskovskaya+137/novomoskovskaya
Зябликово | Зябликово | x=1535.6671 | y=1478.7329 | align=left | imp=3 | w=78.8800 | h=18.0000 | rect=1535.6671,1469.7329,1614.5471,1487.7329 | zone=938.7874 | anchor=1587.1071,1457.9483 | ids=10/zyablikovo+2/krasnogvardeyskaya
Охотный Ряд | Охотный⏎Ряд | x=1042.9642 | y=786.6008 | align=right | imp=2 | w=66.3200 | h=37.9200 | rect=976.6442,767.6408,1042.9642,805.5608 | zone=18.4746 | anchor=955.4463,777.4023 | ids=1/okhotnyy-ryad+2/teatralnaya+3/ploshchad-revolyutsii
